		dados de 2008	ind		densidade (indiv/ha)	abundancia (indivi)			densidade	abundancia
4A	MN	Leptopogon amaurocephalus	1	15	4,718	2,779	FSAF	FSAF	29,063	17,118
4A	MN	Heliobletus contaminatus	2	25	3,397	2,001	ITR			
4A	MN	Tangara preciosa	3	25	5,096	3,001	POD			
4C	MN	Phylloscartes ventralis	1	15	4,718					
4A	MN	Phylloscartes ventralis	5	25	8,493	7,781	MI	MI	14,909	8,782
4A	MN	Camptostoma obsoletum	1	25	1,699	1,000	POD			
4A	MN	Pipraeidea melanonota	1	25	1,699	1,000	POD			
4A	MN	Picumnus nebulosus	1	25	1,699	1,000	ITR			
4A	MN	Turdus albicollis	2	15	9,436					
4C	MN	Turdus albicollis	1	25	1,699	6,558	POS	POS	15,853	9,337
4A	MN	Sittasomus griseicapillus	2	25	1,699	1,000	ITR			
4A	MN	Chiroxiphia caudata	1	15	4,718	2,779	POS			
4A	MN	Basileuterus culicivorus	4	25	6,794	4,002	FSAF			
4B	MN	Basileuterus leucoblepharus	1	15	4,718					
4C	MN	Basileuterus leucoblepharus	2	25	3,397	4,780	FSGAF	FSGAF	8,115	4,780
4B	MN	Poecilotriccus plumbeiceps	1	15	4,718	2,779	FSAF			
4B	MN	Vireo olivaceus	2	25	3,397	2,001	POD			
4B	MN	Dysithamnus mentalis	1	25	1,699	1,000	FSAF			
4B	MN	Drymophila malura	1	25	1,699	1,000	FSAF			
4C	MN	Trogon surrucura	2	25	3,397	2,001	FFI	FFI	3,397	2,001
4C	MN	Pachyramphus castaneus	1	25	1,699	1,000	MI			
4C	MN	Lathrotriccus euleri	1	15	4,718	2,779	FSAF			
4C	MN	Cyclarhis gujanensis	1	25	1,699	1,000	PID			
4C	MN	Conopophaga lineata	1	15	4,718	2,779	FSAF			
4C	MN	Euphonia chalybea	1	25	1,699	1,000	POD			
										
2009	2009	2009	2009	2009	2009	2009	2009	2009	2009	2009
										
1AA	PM	Lepidocolaptes falcinellus	1	25	1,699	1,000	ITR	1,699	1,000	
1BB	PM	Zonotrichia capensis	3	25	5,096	3,001	GB	5,096	3,001	
1BB	PM	Troglodytes musculus	1	25	1,699	1,000	IB	1,699	1,000	
1CC	PM	Vireo olivaceus	1	25	1,699	1,000	POD	1,699	1,000	
										
2AA	PM	Milvago chimachima	1	25	1,699	1,000	CD	1,699	1,000	
2AA	PM	Zonotrichia capensis	2	25	3,397	2,001	GB	3,397	2,001	
										
3BB	PM	Cacicus chrysopterus	1	25	1,699	1,000	POD	POD	1,699	1,000
3CC	PM	Lathrtriccus euleri	1	25	1,699	1,000	FSAF	FSAF	3,397	2,001
3BB	PM	Thamnophilus caerulescens	1	25	1,699	1,000	FSAF			
3AA	PM	Zonotrichia capensis	4	25	6,794	4,002	GB	GB	6,794	4,002
										
4AA	PM	Zonotrichia capensis	1	25	1,699	1,000	GB	GB	1,699	1,000
4BB	PM	Parula pitiayumi	1	25	1,699	1,000	PID	PID	1,699	1,000
										
1BB	PV	Zonotrichia capensis	1	15	4,718					
1AA	PV	Zonotrichia capensis	6	25	10,191	8,782	GB	GB	14,909	8,782
1BB	PV	Phylloscartes ventralis	1	25	1,699	1,000	MI	MI	1,699	1,000
1BB	PV	Troglodytes musculus	1	25	1,699	1,000	IB	IB	1,699	1,000
1CC	PV	Thraupis sayaca	1	25	1,699	1,000	OB	OB	1,699	1,000
										
2AA	PV	Phylloscartes ventralis	1	25	1,699	1,000	MI	MI	1,699	1,000
2BB	PV	Zonotrichia capensis	2	15	9,436					
2BB	PV	Zonotrichia capensis	3	25	5,096	8,559	GB	GB	14,532	8,559
2BB	PV	Turdus amaurochalinus	1	25	1,699	1,000	OB	OB	1,699	1,000
										
3AA	PV	Zonotrichia capensis	5	25	8,493	5,002	GB	GB	8,493	5,002
3BB	PV	Turdus amaurochalinus	2	25	3,397	2,001	OB	OB	3,397	2,001
										
4AA	PV	Zonotrichia capensis	7	25	11,890	7,003	GB	GB	11,890	7,003
4BB	PV	Troglodytes musculus	1	15	4,718					
4CC	PV	Troglodytes musculus	1	25	1,699	3,779	IB	IB	6,417	3,779
4CC	PV	Vireo olivaceus	1	25	1,699	1,000	POD	POD	1,699	1,000
										
1AA	PS	Zonotrichia capensis	4	15	18,872					
1AA	PS	Zonotrichia capensis	3	25	5,096	14,117	GB	GB	28,686	16,896
1AA	PS	Poospiza cabanisi	4	25	6,794	4,002	OB	OB	6,794	4,002
1AA	PS	Myiophobus fasciatus	2	25	3,397	2,001	IB	IB	6,794	4,002
1AA	PS	Troglodytes musculus	1	25	1,699	1,000	IB			
1AA	PS	Cyanocompsa brissonii	1	15	4,718	2,779	GB			
1AA	PS	Basileuterus culicivorus	3	25	5,096	3,001	FSAF	FSAF	57,372	33,792
1AA	PS	Synallaxis spixi	1	25	1,699	1,000	IB			
1AA	PS	Lepidocolaptes falcinellus	1	25	1,699	1,000	ITR	ITR	5,096	3,001
1BB	PS	Pipraeidea melanonota	1	25	1,699	1,000	POD	POD	1,699	1,000
1BB	PS	Picumnus nebulosus	1	25	1,699	1,000	ITR			
1BB	PS	Poecilotriccus plumbeiceps	1	25	1,699	1,000	FSAF			
1CC	PS	Synallaxis ruficapilla	1	5	42,463					
1CC	PS	Synallaxis ruficapilla	1	15	4,718	27,790	FSAF			
1CC	PS	Sittasomus griseicapillus	1	25	1,699	1,000	ITR			
1CC	PS	Pyrrhocoma ruficeps 	2	25	3,397	2,001	FSAF			
1CC	PS	Schiffornis virescens	1	25	1,699	1,000	POS	POS	1,699	1,000
										
2AA	PS	Poospiza cabanisi	1	15	4,718	2,779	OB	OB	8,115	4,780
2AA	PS	Heliobletus contaminatus	1	25	1,699	1,000	ITR	ITR	8,493	5,002
2AA	PS	Turdus albicollis	1	25	1,699	1,000	POS	POS	6,794	4,002
2CC	PS	Basileuterus culicivorus	2	15	9,436					
2AA	PS	Basileuterus culicivorus	3	25	5,096	8,559	FSAF	FSAF	19,627	11,560
2AA	PS	Syndactyla rufosuperciliata	2	25	3,397	2,001	FSAF			
2AA	PS	Phyllomyias virescens 	1	25	1,699	1,000	PID	PID	1,699	1,000
2AA	PS	Vireo olivaceus	2	25	3,397	2,001	POD	POD	5,096	3,001
2BB	PS	Schiffornis virescens	1	25	1,699	1,000	POS			
2BB	PS	Sittasomus griseicapillus	2	25	3,397	2,001	ITR			
2BB	PS	Phylloscartes ventralis	1	15	4,718					
2BB	PS	Phylloscartes ventralis	1	25	1,699	3,779	MI	MI	6,417	3,779
2CC	PS	Turdus albicollis	2	25	3,397	2,001	POS			
2CC	PS	Turdus rufiventris	1	25	1,699	1,000	OB			
2CC	PS	Stephanophorus diadematus	1	25	1,699	1,000	POD			
2CC	PS	Picumnus nebulosus	1	25	1,699	1,000	ITR			
2CC	PS	Leucochloris albicollis	1	15	4,718	2,779	NI	NI	4,718	2,779
2CC	PS	Basileuterus leucoblepharus	1	15	4,718					
2CC	PS	Basileuterus leucoblepharus	1	25	1,699	3,779	FSGAS	FSGAS	6,417	3,779
2CC	PS	Saltator sp.	1	25	1,699	1,000	OB			
2CC	PS	Myiophobus fasciatus	1	25	1,699	1,000	IB	IB	1,699	1,000
2CC	PS	Synallaxis ruficapilla	1	25	1,699	1,000	FSAF			
2CC	PS	Lepidocolaptes falcinellus	1	25	1,699	1,000	ITR			
2CC	PS	Zonotrichia capensis	1	25	1,699	1,000	GB	GB	1,699	1,000
										
3AA	PS	Zonotrichia capensis	2	15	9,436					
3AA	PS	Zonotrichia capensis	3	25	5,096	8,559	GB	GB	14,532	8,559
3AA	PS	Basileuterus leucoblepharus	3	25	5,096	3,001	FSGAS	FSGAS	5,096	3,001
3AA	PS	Phylloscartes ventralis	1	25	1,699	1,000	MI	MI	1,699	1,000
3AA	PS	Basileuterus culicivorus	3	25	5,096	3,001	FSAF	FSAF	16,608	9,782
3BB	PS	Platyrinchus mystaceus 	1	25	1,699	1,000	FSAF			
3BB	PS	Poospiza cabanisi	1	15	4,718					
3CC	PS	Poospiza cabanisi	1	25	1,699	3,779	OB	OB	8,115	4,780
3BB	PS	Lathrotriccus euleri	2	25	3,397	2,001	FSAF			
3BB	PS	Leucochloris albicollis	1	25	1,699	1,000	NI	NI	1,699	1,000
3BB	PS	Vireo olivaceus	1	25	1,699	1,000	POD	POD	5,096	3,001
3CC	PS	Synallaxis ruficapilla	1	15	4,718					
3CC	PS	Synallaxis ruficapilla	1	25	1,699	3,779	FSAF			
3CC	PS	Turdus amaurochalinus	1	25	1,699	1,000	OB			
3CC	PS	Pipraeidea melanonota	2	25	3,397	2,001	POD			
3CC	PS	Hylophilus poicilotis	1	25	1,699	1,000	IB	IB	1,699	1,000
3CC	PS	Heliobletus contaminatus	1	25	1,699	1,000	ITR	ITR	1,699	1,000
3CC	PS	Cyclarhis gujanensis	1	25	1,699	1,000	PID	PID	1,699	1,000
										
4AA	PS	Basileuterus culicivorus	2	15	9,436	5,558	FSAF	FSAF	23,968	14,117
4AA	PS	Cyanocompsa brissonii	1	15	4,718	2,779	GB	GB	11,135	6,558
4AA	PS	Cranioleuca obsoleta	1	15	4,718	2,779	MI	MI	6,417	3,779
4AA	PS	Thamnophilus caerulescens	1	15	4,718					
4AA	PS	Thamnophilus caerulescens	1	25	1,699	3,779	FSAF			
4AA	PS	Basileuterus leucoblepharus	1	5	42,463					
4AA	PS	Basileuterus leucoblepharus	1	15	4,718					
4BB	PS	Basileuterus leucoblepharus	2	25	3,397	29,790	FSGAS	FSGAS	50,578	29,79
4AA	PS	Veniliornis spilogaster	1	25	1,699	1,000	ITR	ITR	5,096	3,001
4AA	PS	Phylloscartes ventralis	1	25	1,699	1,000	MI			
4AA	PS	Saltator maxillosus	1	15	4,718					
4AA	PS	Saltator maxillosus	1	25	1,699	3,779	OB	OB	13,211	7,781
4AA	PS	Platyrinchus mystaceus 	1	25	1,699	1,000	FSAF			
4AA	PS	Poospiza cabanisi	3	25	5,096	3,001	OB			
4AA	PS	Turdus rufiventris	1	25	1,699	1,000	OB			
4AA	PS	Sittasomus griseicapillus	1	25	1,699	1,000	ITR			
4AA	PS	Picumnus nebulosus	1	25	1,699	1,000	ITR			
4BB	PS	Zonotrichia capensis	1	15	4,718					
4AA	PS	Zonotrichia capensis	1	25	1,699	3,779	GB			
4BB	PS	Poecilotriccus plumbeiceps	1	15	4,718					
4BB	PS	Poecilotriccus plumbeiceps	1	25	1,699	3,779	FSAF			
4CC	PS	Stephanohporus diadematus	1	25	1,699	1,000				
4CC	PS	Lathrotriccus euleri	1	25	1,699	1,000				
										
1AA	AP	Cranioleuca obsoleta	1	25	1,699	1,000	MI	MI	8,115	4,780
1AA	AP	Sittasomus griseicapillus	2	15	9,436					
1CC	AP	Sittasomus griseicapillus	1	25	1,699	6,558	ITR	ITR	25,289	14,895
1AA	AP	Camptostoma obsoletum	1	15	4,718					
1AA	AP	Camptostoma obsoletum	1	25	1,699	3,779	POD	POD	20,571	12,116
1AA	AP	Heliobletus contaminatus	3	15	14,154	8,337	ITR			
1AA	AP	Zonotrichia capensis	1	15	4,718					
1AA	AP	Zonotrichia capensis	1	25	1,699	3,779	GB	GB	6,417	3,779
1AA	AP	Synallaxis ruficapilla	1	25	1,699	1,000	FSAF	FSAF	5,096	3,001
1CC	AP	Leptasthenura setaria	1	15	4,718					
1AA	AP	Leptasthenura setaria	2	25	3,397	4,780	PID	PID	12,833	7,559
1AA	AP	Turdus albicollis	1	25	1,699	1,000	POS	POS	3,397	2,001
1BB	AP	Platyrinchus mystaceus 	1	25	1,699	1,000	FSAF			
1BB	AP	Schiffornis virescens	1	25	1,699	1,000	POS			
1BB	AP	Parula pitiayumi	1	15	4,718	2,779	PID			
1BB	AP	Turdus rufiventris	1	25	1,699	1,000	OB	OB	1,699	1,000
1CC	AP	Hemithraupis guira	3	15	14,154	8,337	POD			
1CC	AP	Pachyramphus castaneus	1	15	4,718	2,779	MI			
1CC	AP	Phylloscartes ventralis	1	25	1,699	1,000	MI			
1CC	AP	Basileuterus culicivorus	1	25	1,699	1,000	FSAF			
										
2AA	AP	Drymophila malura	1	15	4,718	2,779	FSAF	FSAF	37,179	21,898
2AA	AP	Synallaxis ruficapilla	1	25	1,699	1,000	FSAF			
2AA	AP	Conopophaga lineata	1	15	4,718	2,779	FSAF			
2AA	AP	Pachyramphus polychopterus	2	25	3,397	2,001	PID	PID	17,929	10,560
2AA	AP	Zonotrichia capensis	2	15	9,436	5,558	GB	GB	9,436	5,558
2AA	AP	Pyrrhocoma ruficeps 	1	15	4,718					
2AA	AP	Pyrrhocoma ruficeps 	1	25	1,699	3,779	FSAF			
2AA	AP	Syndactyla rufosuperciliata	1	25	1,699	1,000	FSAF			
2BB	AP	Phylloscartes ventralis	2	15	9,436					
2AA	AP	Phylloscartes ventralis	2	25	3,397	7,559	MI	MI	12,833	7,559
2AA	AP	Turdus amaurochalinus	1	25	1,699	1,000	OB	OB	1,699	1,000
2CC	AP	Parula pitiayumi	1	15	4,718					
2AA	AP	Parula pitiayumi	2	25	3,397	4,780	PID			
2AA	AP	Lathrotriccus euleri	2	25	3,397	2,001	FSAF			
2AA	AP	Pipraeidea melanonota	1	25	1,699	1,000	POD	POD	25,666	15,118
2BB	AP	Hemithraupis guira	3	15	14,154	8,337	POD			
2BB	AP	Tangara preciosa	2	25	3,397	2,001	POD			
2BB	AP	Poecilotriccus plumbeiceps	2	15	9,436					
2CC	AP	Poecilotriccus plumbeiceps	1	25	1,699	6,558	FSAF			
2BB	AP	Vireo olivaceus	1	15	4,718	2,779	POD			
2BB	AP	Leptasthenura setaria	1	15	4,718					
2BB	AP	Leptasthenura setaria	1	25	1,699	3,779	PID			
2BB	AP	Sittasomus griseicapillus	2	25	3,397	2,001	ITR	ITR	3,397	2,001
2CC	AP	Basileuterus culicivorus	2	25	3,397	2,001	FSAF			
2CC	AP	Basileuterus leucoblepharus	2	25	3,397	2,001	FSGAS	FSGAS	3,397	2,001
2CC	AP	Turdus albicollis	1	25	1,699	1,000	POS	POS	1,699	1,000
2CC	AP	Camptostoma obsoletum	1	25	1,699	1,000	POD			
										
3AA	AP	Heliobletus contaminatus	1	25	1,699	1,000	ITR	ITR	16,230	9,560
3AA	AP	Cranioleuca obsoleta	1	25	1,699	1,000	MI	MI	10,191	6,003
3AA	AP	Camptostoma obsoletum	1	15	4,718	2,779	POD	POD	17,929	10,560
3AA	AP	Phyllomyias virescens 	4	25	6,794	4,002	PID	PID	31,517	18,563
3BB	AP	Parula pitiayumi	1	15	4,718					
3AA	AP	Parula pitiayumi	2	25	3,397	4,780	PID			
3AA	AP	Lathrotriccus euleri	2	25	3,397	2,001	FSAF	FSAF	26,421	15,562
3AA	AP	Leptasthenura striolata	1	25	1,699	1,000	PID			
3AA	AP	Thamnophilus caerulescens	1	25	1,699	1,000	FSAF			
3AA	AP	Pyrrhocoma ruficeps 	2	25	3,397	2,001	FSAF			
3AA	AP	Phylloscartes ventralis	5	25	8,493	5,002	MI			
3AA	AP	Cyclarhis gujanensis	1	25	1,699	1,000	PID			
3AA	AP	Leucochloris albicollis	1	25	1,699	1,000	NI	NI	1,699	1,000
3AA	AP	Hylophilus poicilotis	2	25	3,397	2,001	IB	IB	3,397	2,001
3AA	AP	Molothrus bonariensis	1	25	1,699	1,000	GB	GB	1,699	1,000
3BB	AP	Muscipipra vetula	1	25	1,699	1,000	PID			
3BB	AP	Leptasthenura setaria	1	15	4,718					
3BB	AP	Leptasthenura setaria	2	25	3,397	4,780	PID			
3BB	AP	Synallaxis ruficapilla	1	15	4,718	2,779	FSAF			
3BB	AP	Tangara preciosa	1	25	1,699	1,000	POD			
3BB	AP	Lepidocolaptes falcinellus	1	15	4,718	2,779	ITR			
3BB	AP	Basileuterus culicivorus	4	25	6,794	4,002	FSAF			
3BB	AP	Sittasomus griseicapillus	2	25	3,397	2,001	ITR			
3CC	AP	Xiphorhynchus fuscus	1	15	4,718					
3CC	AP	Xiphorhynchus fuscus	1	25	1,699	3,779	ITR			
3CC	AP	Leptopogon amaurocephalus	1	25	1,699	1,000	FSAF			
3CC	AP	Basileuterus leucoblepharus	1	25	1,699	1,000	FSGAS	FSGAS	1,699	1,000
3CC	AP	Phyllomyias fasciatus	1	25	1,699	1,000	PID			
3CC	AP	Turdus albicollis	1	25	1,699	1,000	POS	POS	1,699	1,000
3CC	AP	Vireo olivaceus	1	15	4,718	2,779	POD			
3CC	AP	Hemitriccus obsoletus	1	15	4,718	2,779	FSAF			
3CC	AP	Hemithraupis guira	4	25	6,794	4,002	POD			
3CC	AP	Myiopagis caniceps	1	25	1,699	1,000	PID			
										
4AA	AP	Parula pitiayumi	3	25	5,096	3,001	PID	PID	16,985	10,004
4AA	AP	Phyllomyias virescens 	4	25	6,794	4,002	PID			
4AA	AP	Lathrotriccus euleri	3	25	5,096	3,001	FSAF	FSAF	23,024	13,561
4AA	AP	Turdus albicollis	1	25	1,699	1,000	POS	POS	1,699	1,000
4AA	AP	Phylloscartes ventralis	2	15	9,436					
4BB	AP	Phylloscartes ventralis	2	25	3,397	7,559	MI	MI	12,833	7,559
4AA	AP	Hemitriccus obsoletus	1	25	1,699	1,000	FSAF			
4AA	AP	Poospiza cabanisi	1	25	1,699	1,000	OB	OB	8,115	4,780
4CC	AP	Syndactyla rufosuperciliata	1	15	4,718					
4AA	AP	Syndactyla rufosuperciliata	1	25	1,699	3,779	FSAF			
4AA	AP	Sittasomus griseicapillus	2	25	3,397	2,001	ITR	ITR	6,794	4,002
4AA	AP	Piculus aurulentus	1	25	1,699	1,000	ITR			
4BB	AP	Basileuterus leucoblepharus	1	25	1,699	1,000	FSGAS	FSGAS	1,699	1,000
4BB	AP	Camptostoma obsoletum	1	25	1,699	1,000	POD	POD	6,794	4,002
4BB	AP	Hemithraupis guira	2	25	3,397	2,001	POD			
4BB	AP	Heliobletus contaminatus	1	25	1,699	1,000	ITR			
4BB	AP	Pipraeidea melanonota	1	25	1,699	1,000	POD			
4CC	AP	Cyclarhis gujanensis	1	25	1,699	1,000	PID			
4CC	AP	Myiopagis caniceps	1	25	1,699	1,000	PID			
4CC	AP	Basileuterus culicivorus	2	25	3,397	2,001	FSAF			
4CC	AP	Poecilotriccus plumbeiceps	1	15	4,718	2,779	FSAF			
4CC	AP	Saltator maxillosus	1	15	4,718					
4CC	AP	Saltator maxillosus	1	25	1,699	3,779	OB			
4CC	AP	Synallaxis ruficapilla	1	25	1,699	1,000	FSAF			
4CC	AP	Leptasthenura setaria	1	25	1,699	1,000	PID			
										
1AA	MN	Leucochloris albicollis	1	25	1,699	1,000	NI	NI	1,699	1,000
1AA	MN	Synallaxis ruficapilla	1	15	4,718	2,779	FSAF	FSAF	29,063	17,118
1CC	MN	Basileuterus culicivorus	2	15	9,436					
1AA	MN	Basileuterus culicivorus	2	25	3,397	7,559	FSAF			
1CC	MN	Lathrotriccus euleri	1	15	4,718					
1AA	MN	Lathrotriccus euleri	2	25	3,397	4,780	FSAF			
1CC	MN	Parula pitiayumi	1	15	4,718					
1AA	MN	Parula pitiayumi	2	25	3,397	4,780	PID	PID	16,230	9,560
1CC	MN	Vireo olivaceus	1	15	4,718					
1AA	MN	Vireo olivaceus	2	25	3,397	4,780	POD	POD	13,211	7,781
1AA	MN	Contopus cinereus	2	25	3,397	2,001	MI	MI	8,493	5,002
1AA	MN	Platyrinchus mystaceus 	1	25	1,699	1,000	FSAF			
1CC	MN	Sittasomus griseicapillus	1	15	4,718					
1AA	MN	Sittasomus griseicapillus	3	25	5,096	5,780	ITR	ITR	13,211	7,781
1AA	MN	Pipraeidea melanonota	1	25	1,699	1,000	POD			
1AA	MN	Picumnus nebulosus	1	25	1,699	1,000	ITR			
1AA	MN	Tolmomyias sulphurescens	1	25	1,699	1,000	MI			
1AA	MN	Lepidocolaptes falcinellus	1	25	1,699	1,000	ITR			
1BB	MN	Turdus albicollis	1	25	1,699	1,000	POS	POS	1,699	1,000
1BB	MN	Camptostoma obsoletum	2	25	3,397	2,001	POD			
1BB	MN	Phyllomyias virescens 	1	25	1,699	1,000	PID			
1BB	MN	Myiarchus swainsoni	1	25	1,699	1,000	PID			
1CC	MN	Dysithamnus mentalis	1	25	1,699	1,000	FSAF			
1CC	MN	Cyanocompsa brissonii	1	25	1,699	1,000	GB	GB	1,699	1,000
1CC	MN	Cyclarhis gujanensis	1	15	4,718	2,779	PID			
1CC	MN	Phylloscartes ventralis	2	25	3,397	2,001	MI			
1CC	MN	Saltator sp.	1	15	4,718	2,779	OB	OB	4,718	2,779
										
2AA	MN	Basileuterus culicivorus	2	15	9,436					
2AA	MN	Basileuterus culicivorus	3	25	5,096	8,559	FSAF	FSAF	30,762	18,119
2AA	MN	Drymophila malura	1	15	4,718	2,779	FSAF			
2AA	MN	Turdus rufiventris	2	25	3,397	2,001	OB	OB	9,814	5,780
2AA	MN	Hemitriccus obsoletus	2	25	3,397	2,001	FSAF			
2AA	MN	Colaptes melanochloros	1	25	1,699	1,000	ITR	ITR	11,890	7,003
2AA	MN	Pachyramphus castaneus	1	25	1,699	1,000	MI	MI	10,191	6,003
2AA	MN	Haplospiza unicolor	1	25	1,699	1,000	GB	GB	1,699	1,000
2AA	MN	Pachyramphus viridis	1	25	1,699	1,000	PID	PID	11,512	6,781
2AA	MN	Phyllomyias fasciatus	1	25	1,699	1,000	PID			
2AA	MN	Philydor rufum	1	25	1,699	1,000	MI			
2AA	MN	Tachyphonus coronatus	1	15	4,718					
2BB	MN	Tachyphonus coronatus	1	25	1,699	3,779	OB			
2AA	MN	Sittasomus griseicapillus	2	25	3,397	2,001	ITR			
2BB	MN	Phylloscartes ventralis	3	25	5,096	3,001	MI			
2BB	MN	Veniliornis spilogaster	1	25	1,699	1,000	ITR			
2BB	MN	Heliobletus contaminatus	2	25	3,397	2,001	ITR			
2BB	MN	Turdus albicollis	1	15	4,718					
2BB	MN	Turdus albicollis	2	25	3,397	4,780	POS	POS	8,115	4,780
2BB	MN	Parula pitiayumi	1	15	4,718					
2CC	MN	Parula pitiayumi	1	25	1,699	3,779	PID			
2BB	MN	Tolmomyias sulphurescens	1	25	1,699	1,000	MI			
2BB	MN	Pyrrhocoma ruficeps 	1	25	1,699	1,000	FSAF			
2BB	MN	Hemithraupis guira	3	15	14,154	8,337	POD	POD	30,007	17,674
2BB	MN	Lepidocolaptes falcinellus	1	25	1,699	1,000	ITR			
2BB	MN	Vireo olivaceus	1	15	4,718					
2BB	MN	Vireo olivaceus	1	25	1,699	3,779	POD			
2BB	MN	Leptopogon amaurocephalus	1	15	4,718	2,779	FSAF			
2BB	MN	Hylophilus poicilotis	1	25	1,699	1,000	IB	IB	1,699	1,000
2BB	MN	Pipraeidea melanonota	2	15	9,436	5,558	POD			
2BB	MN	Phyllomyias virescens 	1	25	1,699	1,000	PID			
2CC	MN	Syndactyla rufosuperciliata	1	25	1,699	1,000	FSAF			
2CC	MN	Basileuterus leucoblepharus	2	25	3,397	2,001	FSGAS	FSGAS	3,397	2,001
										
3AA	MN	Lathrotriccus euleri	3	25	5,096	3,001	FSAF	FSAF	37,179	21,898
3AA	MN	Thamnophilus caerulescens	2	15	9,436	5,558	FSAF			
3AA	MN	Phylloscartes ventralis	1	15	4,718					
3AA	MN	Phylloscartes ventralis	1	25	1,699	3,779	MI	MI	8,115	4,780
3AA	MN	Vireo olivaceus	1	15	4,718	2,779	POD	POD	6,417	3,779
3AA	MN	Heliobletus contaminatus	2	25	3,397	2,001	ITR	ITR	6,794	4,002
3AA	MN	Hylophilus poicilotis	1	25	1,699	1,000	IB	IB	1,699	1,000
3AA	MN	Basileuterus culicivorus	1	15	4,718					
3AA	MN	Basileuterus culicivorus	4	25	6,794	6,781	FSAF			
3AA	MN	Trogon surrucura	1	25	1,699	1,000	FFI	FFI	1,699	1,000
3CC	MN	Basileuterus leucoblepharus	2	15	9,436					
3AA	MN	Basileuterus leucoblepharus	1	25	1,699	6,558	FSGAS	FSGAS	11,135	6,558
3AA	MN	Stephanoxis lalandi	2	5	84,926	50,021	NI	NI	84,926	50,021
3AA	MN	Sittasomus griseicapillus	2	25	3,397	2,001	ITR			
3BB	MN	Myiarchus swainsoni	2	25	3,397	2,001	PID	PID	14,909	8,782
3BB	MN	Philydor rufum	1	25	1,699	1,000	MI			
3BB	MN	Parula pitiayumi	1	15	4,718					
3BB	MN	Parula pitiayumi	2	25	3,397	4,780	PID			
3BB	MN	Euphonia chalybea	1	25	1,699	1,000	POD			
3BB	MN	Phyllomyias virescens 	1	25	1,699	1,000	PID			
3BB	MN	Turdus albicollis	2	15	9,436					
3BB	MN	Turdus albicollis	3	25	5,096	8,559	POS	POS	16,230	9,560
3BB	MN	Pyrrhocoma ruficeps 	2	15	9,436	5,558	FSAF			
3CC	MN	Schiffornis virescens	1	25	1,699	1,000	POS			
3CC	MN	Dysithamnus mentalis	1	25	1,699	1,000	FSAF			
3CC	MN	Phyllomyias fasciatus	1	25	1,699	1,000	PID			
										
4AA	MN	Schiffornis virescens	1	15	4,718					
4AA	MN	Schiffornis virescens	1	25	1,699	3,779	POS	POS	9,814	5,780
4AA	MN	Basileuterus culicivorus	2	25	3,397	2,001	FSAF	FSAF	24,345	14,339
4AA	MN	Vireo olivaceus	1	15	4,718	2,779	POD	POD	9,814	5,780
4BB	MN	Phylloscartes ventralis	1	15	4,718					
4AA	MN	Phylloscartes ventralis	2	25	3,397	4,780	MI	MI	8,115	4,780
4BB	MN	Phyllomyias virescens 	1	15	4,718					
4AA	MN	Phyllomyias virescens 	1	25	1,699	3,779	PID	PID	13,211	7,781
4AA	MN	Turdus albicollis	2	25	3,397	2,001	POS			
4AA	MN	Cacicus chrysopterus 	1	25	1,699	1,000	POD			
4AA	MN	Lathrotriccus euleri	2	15	9,436					
4AA	MN	Lathrotriccus euleri	1	25	1,699	6,558	FSAF			
4AA	MN	Hemithraupis guira	2	25	3,397	2,001	POD			
4AA	MN	Leptopogon amaurocephalus	1	25	1,699	1,000	FSAF			
4AA	MN	Dysithamnus mentalis	1	25	1,699	1,000	FSAF			
4BB	MN	Platyrinchus mystaceus 	1	15	4,718	2,779	FSAF			
4BB	MN	Drymophila malura	1	25	1,699	1,000	FSAF			
4BB	MN	Parula pitiayumi	2	25	3,397	2,001	PID			
4BB	MN	Cyclarhis gujanensis	1	25	1,699	1,000	PID			
4CC	MN	Myiodynastes maculatus	1	25	1,699	1,000	OB	OB	1,699	1,000
4CC	MN	Phyllomyias burmeisteri	1	25	1,699	1,000	PID			
4CC	MN	Xenops rutilans	1	25	1,699	1,000	ITR	ITR	1,699	1,000
