		dados de 2008	ind		densidade (indiv/ha)	abundancia (indivi)			densidade	abundancia
2A	PS	Lathrotriccus euleri	1	15	4,718					
2C	PS	Lathrotriccus euleri	1	25	1,699	3,779	FSAF			
2A	PS	Poospiza lateralis	3	15	14,154	8,337	OB	OB	25,289	14,895
2C	PS	Phyllomyias virescens 	2	15	9,436					
2A	PS	Phyllomyias virescens 	1	25	1,699	6,558	PID			
2A	PS	Lepidocolaptes falcinellus	1	25	1,699	1,000	ITR			
2A	PS	Pyrrhocoma ruficeps 	1	15	4,718	2,779	FSAF			
2A	PS	Cacicus chrysopterus 	1	25	1,699	1,000	POD	POD	3,397	2,001
2A	PS	Hylophilus poicilotis	2	25	3,397	2,001	IB	IB	3,397	2,001
2A	PS	Turdus rufiventris	1	15	4,718	2,779	OB			
2B	PS	Platyrinchus mystaceus 	1	5	42,463	25,011	FSAF			
2B	PS	Vireo olivaceus	1	25	1,699	1,000	POD			
2C	PS	Turdus amaurochalinus	1	15	4,718					
2B	PS	Turdus amaurochalinus	1	25	1,699	3,779	OB			
2B	PS	Schiffornis virescens	1	25	1,699	1,000	POS	POS	9,814	5,780
2B	PS	Sittasomus griseicapillus	1	25	1,699	1,000	ITR			
2B	PS	Basileuterus leucoblepharus	1	25	1,699	1,000	FSGAS	FSGAS	1,699	1,000
2C	PS	Phylloscartes ventralis	2	25	3,397	2,001	MI	MI	3,397	2,001
2C	PS	Turdus albicollis	1	15	4,718					
2C	PS	Turdus albicollis	2	25	3,397	4,780	POS			
2C	PS	Thamnophilus caerulescens	1	15	4,718	2,779	FSAF			
2C	PS	Syndactyla rufosuperciliata	1	25	1,699	1,000	FSAF			
										
3A	PS	Poospiza lateralis	3	15	14,154					
3B	PS	Poospiza lateralis	3	25	5,096	11,338	OB	OB	20,948	12,339
3A	PS	Basileuterus culicivorus	3	5	127,389					
3B	PS	Basileuterus culicivorus	1	15	4,718					
3B	PS	Basileuterus culicivorus	1	25	1,699	78,811	FSAF	FSAF	237,981	140,171
3A	PS	Phylloscartes ventralis	1	5	42,463					
3B	PS	Phylloscartes ventralis	1	15	4,718	27,790	MI	MI	47,181	27,790
3A	PS	Pyrrhocoma ruficeps 	1	5	42,463					
3A	PS	Pyrrhocoma ruficeps 	2	15	9,436	30,569	FSAF			
3A	PS	Phyllomyias virescens 	4	25	6,794	4,002	PID	PID	11,890	7,003
3A	PS	Synallaxis ruficapilla	1	5	42,463					
3A	PS	Synallaxis ruficapilla	1	15	4,718					
3C	PS	Synallaxis ruficapilla	1	25	1,699	28,790	FSAF			
3A	PS	Saltator similis	1	25	1,699	1,000	OB			
3B	PS	Myiophobus fasciatus	1	5	42,463					
3A	PS	Myiophobus fasciatus	1	15	4,718	27,790	IB	IB	50,578	29,790
3A	PS	Heliobletus contaminatus	2	25	3,397	2,001	ITR	ITR	9,814	5,780
3A	PS	Basileuterus leucoblepharus	3	15	14,154					
3A	PS	Basileuterus leucoblepharus	1	25	1,699	9,337	FSGAS	FSGAS	15,853	9,337
3A	PS	Synallaxis cinerascens	1	25	1,699	1,000	FSAF			
3A	PS	Zonotrichia capensis	5	15	23,590					
3B	PS	Zonotrichia capensis	3	25	5,096	16,896	GB	GB	28,686	16,896
3A	PS	Leucochloris albicollis	1	25	1,699	1,000	NI	NI	1,699	1,000
3B	PS	Cyclarhis gujanensis	2	25	3,397	2,001	PID			
3B	PS	Vireo olivaceus	1	25	1,699	1,000	POD	POD	5,096	3,001
3C	PS	Lathrotriccus euleri	1	25	1,699	1,000	FSAF			
3C	PS	Turdus albicollis	1	15	4,718					
3C	PS	Turdus albicollis	1	25	1,699	3,779	POS	POS	6,417	3,779
3C	PS	Hylophilus poicilotis	2	25	3,397	2,001	IB			
3C	PS	Lepidocolaptes falcinellus	1	15	4,718					
3C	PS	Lepidocolaptes falcinellus	1	25	1,699	3,779	ITR			
3C	PS	Parula pitiayumi	1	25	1,699	1,000	PID			
3C	PS	Stephanophorus diadematus	2	25	3,397	2,001	POD			
										
4A	PS	Contopus cinereus	2	25	3,397	2,001	MI	MI	20,948	12,339
4A	PS	Basileuterus culicivorus	4	25	6,794	4,002	FSAF	FSAF	15,287	9,004
4A	PS	Basileuterus leucoblepharus	1	15	4,718					
4C	PS	Basileuterus leucoblepharus	1	25	1,699	3,779	FSGAF	FSGAF	6,417	3,779
4A	PS	Vireo olivaceus	2	25	3,397	2,001	POD	POD	10,191	6,003
4A	PS	Lathrotriccus euleri	1	25	1,699	1,000	FSAF			
4A	PS	Syndactyla rufosuperciliata	1	25	1,699	1,000	FSAF			
4A	PS	Zonotrichia capensis	2	25	3,397	2,001	GB	GB	5,096	3,001
4A	PS	Synallaxis ruficapilla	1	25	1,699	1,000	FSAF			
4A	PS	Drymophila malura	1	25	1,699	1,000	FSAF			
4A	PS	Phylloscartes ventralis	1	15	4,718					
4C	PS	Phylloscartes ventralis	2	25	3,397	4,780	MI			
4A	PS	Pipraeidea melanonota	3	25	5,096	3,001	POD			
4A	PS	Cranioleuca obsoleta	2	15	9,436	5,558	MI			
4A	PS	Thamnophilus caerulescens	1	25	1,699	1,000	FSAF			
4A	PS	Phyllomyias virescens 	1	25	1,699	1,000	PID	PID	1,699	1,000
4B	PS	Tangara preciosa	1	25	1,699	1,000	POD			
4B	PS	Myiophobus fasciatus	1	15	4,718					
4C	PS	Myiophobus fasciatus	1	25	1,699	3,779	IB	IB	9,814	5,78
4B	PS	Troglodytes musculus	2	25	3,397	2,001	IB			
4B	PS	Turdus rufiventris	1	15	4,718	2,779	OB	OB	14,532	8,559
4B	PS	Turdus amaurochalinus	1	25	1,699	1,000	OB			
4B	PS	Cyanocompsa brissonii	1	25	1,699	1,000	GB			
4B	PS	Saltator sp.	1	15	4,718	2,779	OB			
4B	PS	Poospiza lateralis	2	25	3,397	2,001	OB			
4B	PS	Sittasomus griseicapillus	2	25	3,397	2,001	ITR	ITR	3,397	2,001
										
1A	AP	Leptasthenura setaria	3	15	14,154					
1B	AP	Leptasthenura setaria	3	25	5,096	11,338	PID	PID	43,595	25,678
1C	AP	Myiarchus swainsoni	1	15	4,718					
1A	AP	Myiarchus swainsoni	2	25	3,397	4,780	PID			
1A	AP	Lathrotriccus euleri	1	25	1,699	1,000	FSAF	FSAF	10,191	6,003
1B	AP	Trogon surrucura	1	15	4,718					
1A	AP	Trogon surrucura	2	25	3,397	4,780	FFI	FFI	8,115	4,780
1A	AP	Thamnophilus caerulescens	1	25	1,699	1,000	FSAF			
1A	AP	Parula pitiayumi	2	15	9,436	5,558	PID			
1A	AP	Cyclarhis gujanensis	3	25	5,096	3,001	PID			
1B	AP	Schiffornis virescens	1	25	1,699	1,000	POS	POS	1,699	1,000
1B	AP	Camptostoma obsoletum	1	25	1,699	1,000	POD	POD	14,532	8,559
1B	AP	Synallaxis ruficapilla	1	25	1,699	1,000	FSAF			
1B	AP	Synallaxis cinerascens	1	25	1,699	1,000	FSAF			
1C	AP	Heliobletus contaminatus	1	15	4,718	2,779	ITR	ITR	12,833	7,559
1C	AP	Myiodynastes maculatus	1	25	1,699	1,000	OB	OB	1,699	1,000
1C	AP	Hemithraupis guira	1	15	4,718					
1C	AP	Hemithraupis guira	2	25	3,397	4,780	POD			
1C	AP	Pachyramphus castaneus	1	15	4,718	2,779	MI	MI	51,899	30,569
1C	AP	Vireo olivaceus	1	15	4,718	2,779	POD			
1C	AP	Sittasomus griseicapillus	1	15	4,718					
1C	AP	Sittasomus griseicapillus	1	25	1,699	3,779	ITR			
