"species"	"forest_dependency"	"natural_forest"	"araucaria_plantation"	"pine_plantation"	"datasetID"
"Sittasomus griseicapillus"	"Medium"	17	13	10	"Zurita2006loc"
"Spinus magellanicus"	"Low"	0	1	0	"Zurita2006loc"
"Synallaxis cinerascens"	"High"	6	0	4	"Zurita2006loc"
"Synallaxis ruficapilla"	"Medium"	12	7	1	"Zurita2006loc"
"Synallaxis spixi"	"Does not normally occur in forest"	0	2	13	"Zurita2006loc"
"Tachyphonus coronatus"	"Medium"	4	1	1	"Zurita2006loc"
"Tangara sayaca"	"Low"	0	3	0	"Zurita2006loc"
"Thalurania glaucopis"	"Medium"	0	2	0	"Zurita2006loc"
"Thamnophilus caerulescens"	"Medium"	9	28	30	"Zurita2006loc"
"Tityra inquisitor"	"Medium"	3	0	0	"Zurita2006loc"
"Troglodytes aedon"	"Low"	5	11	24	"Zurita2006loc"
"Trogon rufus"	"High"	3	0	0	"Zurita2006loc"
"Trogon surrucura"	"High"	22	9	15	"Zurita2006loc"
"Turdus albicollis"	"Medium"	3	0	0	"Zurita2006loc"
"Turdus amaurochalinus"	"Low"	2	11	0	"Zurita2006loc"
"Turdus leucomelas"	"Medium"	15	10	9	"Zurita2006loc"
"Turdus rufiventris"	"Low"	1	17	8	"Zurita2006loc"
"Tyrannus melancholicus"	"Low"	1	0	0	"Zurita2006loc"
"Veniliornis spilogaster"	"High"	0	0	1	"Zurita2006loc"
"Vireo olivaceus"	"High"	16	7	12	"Zurita2006loc"
"Zonotrichia capensis"	"Does not normally occur in forest"	0	4	8	"Zurita2006loc"
"Amaurospiza moesta"	"High"	2	0	0	"Zurita2006reg"
"Baryphthengus ruficapillus"	"High"	2	0	0	"Zurita2006reg"
"Basileuterus auricapilla"	"Medium"	21	5	4	"Zurita2006reg"
"Batara cinerea"	"Medium"	2	0	0	"Zurita2006reg"
"Cacicus haemorrhous"	"Medium"	0	2	1	"Zurita2006reg"
"Campephilus leucopogon"	"Low"	2	0	0	"Zurita2006reg"
"Chamaeza campanisona"	"High"	7	0	0	"Zurita2006reg"
"Chiroxiphia caudata"	"High"	1	0	0	"Zurita2006reg"
"Chloroceryle amazona"	"Low"	1	0	0	"Zurita2006reg"
"Chlorostilbon lucidus"	"Medium"	1	0	0	"Zurita2006reg"
"Chrysuronia versicolor"	"Medium"	0	0	1	"Zurita2006reg"
"Cissopis leverianus"	"Medium"	10	1	0	"Zurita2006reg"
"Colonia colonus"	"Medium"	1	0	0	"Zurita2006reg"
"Conopophaga lineata"	"Medium"	2	0	0	"Zurita2006reg"
"Coragyps atratus"	"Low"	1	0	0	"Zurita2006reg"
"Coryphospingus cucullatus"	"Low"	1	0	5	"Zurita2006reg"
"Corythopis delalandi"	"High"	2	0	0	"Zurita2006reg"
"Cranioleuca obsoleta"	"Medium"	6	0	0	"Zurita2006reg"
"Crotophaga major"	"Medium"	2	0	0	"Zurita2006reg"
"Crypturellus obsoletus"	"High"	6	1	0	"Zurita2006reg"
"Crypturellus parvirostris"	"Low"	0	2	2	"Zurita2006reg"
"Crypturellus tataupa"	"High"	0	0	5	"Zurita2006reg"
"Cyanocorax chrysops"	"Medium"	6	13	5	"Zurita2006reg"
"Cyanoloxia glaucocaerulea"	"Medium"	2	0	0	"Zurita2006reg"
"Cyclarhis gujanensis"	"Medium"	1	3	4	"Zurita2006reg"
"Dromococcyx phasianellus"	"Medium"	2	0	0	"Zurita2006reg"
"Drymophila malura"	"High"	3	1	0	"Zurita2006reg"
"Drymophila rubricollis"	"High"	3	0	1	"Zurita2006reg"
"Dysithamnus mentalis"	"Medium"	7	0	1	"Zurita2006reg"
"Elanoides forficatus"	"Low"	0	0	1	"Zurita2006reg"
"Euphonia chlorotica"	"Low"	1	0	1	"Zurita2006reg"
"Euphonia violacea"	"Medium"	1	0	0	"Zurita2006reg"
"Geotrygon montana"	"Medium"	2	0	0	"Zurita2006reg"
"Grallaria varia"	"Medium"	1	0	0	"Zurita2006reg"
"Guira guira"	"Does not normally occur in forest"	0	3	0	"Zurita2006reg"
"Habia rubica"	"High"	1	0	0	"Zurita2006reg"
"Herpsilochmus rufimarginatus"	"Medium"	4	0	0	"Zurita2006reg"
"Hylatomus lineatus"	"Low"	1	1	1	"Zurita2006reg"
"Hylophilus poicilotis"	"Medium"	0	1	0	"Zurita2006reg"
"Hypoedaleus guttatus"	"High"	5	0	0	"Zurita2006reg"
"Ictinia plumbea"	"Medium"	1	0	0	"Zurita2006reg"
"Lathrotriccus euleri"	"Medium"	3	1	0	"Zurita2006reg"
"Leptasthenura setaria"	"Medium"	0	10	0	"Zurita2006reg"
"Leptopogon amaurocephalus"	"Medium"	2	0	0	"Zurita2006reg"
"Mackenziaena leachii"	"Medium"	1	0	0	"Zurita2006reg"
"Mackenziaena severa"	"Medium"	15	1	0	"Zurita2006reg"
"Megaceryle torquata"	"Medium"	0	1	0	"Zurita2006reg"
"Megarynchus pitangua"	"Low"	2	1	8	"Zurita2006reg"
"Micrastur semitorquatus"	"Medium"	3	0	0	"Zurita2006reg"
"Molothrus oryzivorus"	"Medium"	0	0	1	"Zurita2006reg"
"Myiarchus swainsoni"	"Low"	1	0	0	"Zurita2006reg"
"Myiodynastes solitarius"	"Medium"	0	2	3	"Zurita2006reg"
"Myiopagis viridicata"	"Medium"	3	0	0	"Zurita2006reg"
"Myiothlypis leucoblephara"	"Medium"	18	2	4	"Zurita2006reg"
"Myiozetetes similis"	"Low"	1	0	0	"Zurita2006reg"
"Odontophorus capueira"	"High"	1	0	0	"Zurita2006reg"
"Pachyramphus castaneus"	"Medium"	1	0	0	"Zurita2006reg"
"Patagioenas cayennensis"	"Medium"	8	0	2	"Zurita2006reg"
"Patagioenas picazuro"	"Medium"	2	1	2	"Zurita2006reg"
"Penelope superciliaris"	"Medium"	2	0	0	"Zurita2006reg"
"Phaethornis eurynome"	"High"	6	0	0	"Zurita2006reg"
"Philydor atricapillus"	"High"	1	0	0	"Zurita2006reg"
"Philydor rufum"	"High"	1	0	0	"Zurita2006reg"
"Phylloscartes sylviolus"	"High"	1	0	0	"Zurita2006reg"
"Piaya cayana"	"Medium"	1	1	0	"Zurita2006reg"
"Picumnus temminckii"	"High"	5	0	0	"Zurita2006reg"
"Pionus maximiliani"	"Medium"	9	1	1	"Zurita2006reg"
"Pitangus sulphuratus"	"Low"	0	8	8	"Zurita2006reg"
"Poecilotriccus plumbeiceps"	"Medium"	7	2	0	"Zurita2006reg"
"Psittacara leucophthalmus"	"Medium"	11	0	0	"Zurita2006reg"
"Pyriglena leucoptera"	"Medium"	8	0	0	"Zurita2006reg"
"Pyrrhura frontalis"	"Medium"	3	0	1	"Zurita2006reg"
"Ramphastos dicolorus"	"Medium"	4	0	0	"Zurita2006reg"
"Ramphastos toco"	"Medium"	5	0	0	"Zurita2006reg"
"Rupornis magnirostris"	"Low"	2	3	4	"Zurita2006reg"
"Saltator similis"	"Medium"	2	2	2	"Zurita2006reg"
"Setophaga pitiayumi"	"Medium"	2	0	0	"Zurita2006reg"
"Sittasomus griseicapillus"	"Medium"	5	0	0	"Zurita2006reg"
"Spinus magellanicus"	"Low"	0	0	1	"Zurita2006reg"
"Synallaxis frontalis"	"Medium"	0	0	2	"Zurita2006reg"
"Synallaxis ruficapilla"	"Medium"	2	1	0	"Zurita2006reg"
"Synallaxis spixi"	"Does not normally occur in forest"	0	2	3	"Zurita2006reg"
"Syndactyla rufosuperciliata"	"Medium"	7	0	0	"Zurita2006reg"
"Tachyphonus coronatus"	"Medium"	5	0	3	"Zurita2006reg"
"Tangara sayaca"	"Low"	0	5	9	"Zurita2006reg"
"Tapera naevia"	"Does not normally occur in forest"	1	1	1	"Zurita2006reg"
"Thamnophilus caerulescens"	"Medium"	19	3	2	"Zurita2006reg"
"Thlypopsis pyrrhocoma"	"Medium"	1	0	0	"Zurita2006reg"
"Tinamus solitarius"	"High"	1	0	0	"Zurita2006reg"
"Tityra braziliensis"	"Medium"	1	0	0	"Zurita2006reg"
"Tityra inquisitor"	"Medium"	0	0	1	"Zurita2006reg"
"Trichothraupis melanops"	"Medium"	1	0	0	"Zurita2006reg"
"Troglodytes aedon"	"Low"	2	4	27	"Zurita2006reg"
"Trogon surrucura"	"High"	15	3	2	"Zurita2006reg"
"Turdus albicollis"	"Medium"	6	0	0	"Zurita2006reg"
"Turdus amaurochalinus"	"Low"	0	1	5	"Zurita2006reg"
"Turdus leucomelas"	"Medium"	4	5	10	"Zurita2006reg"
"Turdus rufiventris"	"Low"	1	2	0	"Zurita2006reg"
"Veniliornis spilogaster"	"High"	2	0	0	"Zurita2006reg"
"Vireo olivaceus"	"High"	16	2	11	"Zurita2006reg"
"Zenaida auriculata"	"Low"	0	0	1	"Zurita2006reg"
"Zonotrichia capensis"	"Does not normally occur in forest"	0	3	17	"Zurita2006reg"
