"Order" "Family.name" "Family" "Common.name" "Scientific.name" "X2022.IUCN.Red.List.category" "Forest.dependency" "Migratory.status"
"PASSERIFORMES" "Thraupidae" "Tanagers" "Sayaca Tanager" "Tangara sayaca" "LC" "Low" "full migrant"
"CUCULIFORMES" "Cuculidae" "Cuckoos" "Striped Cuckoo" "Tapera naevia" "LC" "Does not normally occur in forest" "full migrant"
"PASSERIFORMES" "Thraupidae" "Tanagers" "Swallow Tanager" "Tersina viridis" "LC" "Medium" "full migrant"
"CAPRIMULGIFORMES" "Trochilidae" "Hummingbirds" "Violet-capped Woodnymph" "Thalurania glaucopis" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Thamnophilidae" "Typical Antbirds" "Variable Antshrike" "Thamnophilus caerulescens" "LC" "Medium" "not a migrant"
"PELECANIFORMES" "Threskiornithidae" "Ibises, Spoonbills" "Buff-necked Ibis" "Theristicus caudatus" "LC" "Does not normally occur in forest" "not a migrant"
"PASSERIFORMES" "Thraupidae" "Tanagers" "Chestnut-headed Tanager" "Thlypopsis pyrrhocoma" "LC" "Medium" "not a migrant"
"STRUTHIONIFORMES" "Tinamidae" "Tinamous" "Solitary Tinamou" "Tinamus solitarius" "NT" "High" "not a migrant"
"PASSERIFORMES" "Tityridae" "Tityras and allies" "Eastern Black-tailed Tityra" "Tityra braziliensis" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Tityridae" "Tityras and allies" "Black-crowned Tityra" "Tityra inquisitor" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Yellow-olive Flatbill" "Tolmomyias sulphurescens" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Thraupidae" "Tanagers" "Black-goggled Tanager" "Trichothraupis melanops" "LC" "Medium" "not a migrant"
"PSITTACIFORMES" "Psittacidae" "Parrots" "Blue-bellied Parrot" "Triclaria malachitacea" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Troglodytidae" "Wrens" "House Wren" "Troglodytes aedon" "LC" "Low" "full migrant"
"TROGONIFORMES" "Trogonidae" "Trogons" "Black-throated Trogon" "Trogon rufus" "LC" "High" "not a migrant"
"TROGONIFORMES" "Trogonidae" "Trogons" "Southern Surucua Trogon" "Trogon surrucura" "LC" "High" "not a migrant"
"PASSERIFORMES" "Turdidae" "Thrushes" "White-necked Thrush" "Turdus albicollis" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Turdidae" "Thrushes" "Creamy-bellied Thrush" "Turdus amaurochalinus" "LC" "Low" "full migrant"
"PASSERIFORMES" "Turdidae" "Thrushes" "Pale-breasted Thrush" "Turdus leucomelas" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Turdidae" "Thrushes" "Rufous-bellied Thrush" "Turdus rufiventris" "LC" "Low" "not a migrant"
"PASSERIFORMES" "Turdidae" "Thrushes" "Eastern Slaty Thrush" "Turdus subalaris" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Tropical Kingbird" "Tyrannus melancholicus" "LC" "Low" "full migrant"
"STRIGIFORMES" "Tytonidae" "Barn-owls" "Common Barn-owl" "Tyto alba" "LC" "Does not normally occur in forest" "not a migrant"
"PICIFORMES" "Picidae" "Woodpeckers" "White-spotted Woodpecker" "Veniliornis spilogaster" "LC" "High" "not a migrant"
"PASSERIFORMES" "Vireonidae" "Vireos" "Red-eyed Vireo" "Vireo olivaceus" "LC" "High" "full migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "White-throated Xenops" "Xenops minutus" "LC" "High" "not a migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Streaked Xenops" "Xenops rutilus" "LC" "High" "not a migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "White-throated Woodcreeper" "Xiphocolaptes albicollis" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Lesser Woodcreeper" "Xiphorhynchus fuscus" "LC" "Medium" "not a migrant"
"COLUMBIFORMES" "Columbidae" "Pigeons, Doves" "Eared Dove" "Zenaida auriculata" "LC" "Low" "full migrant"
"PASSERIFORMES" "Passerellidae" "New World Sparrows" "Rufous-collared Sparrow" "Zonotrichia capensis" "LC" "Does not normally occur in forest" "full migrant"
