"Order" "Family.name" "Family" "Common.name" "Scientific.name" "X2022.IUCN.Red.List.category" "Forest.dependency" "Migratory.status"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Southern Antpipit" "Corythopis delalandi" "LC" "High" "not a migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Olive Spinetail" "Cranioleuca obsoleta" "LC" "Medium" "not a migrant"
"CUCULIFORMES" "Cuculidae" "Cuckoos" "Greater Ani" "Crotophaga major" "LC" "Medium" "full migrant"
"STRUTHIONIFORMES" "Tinamidae" "Tinamous" "Brown Tinamou" "Crypturellus obsoletus" "LC" "High" "not a migrant"
"STRUTHIONIFORMES" "Tinamidae" "Tinamous" "Small-billed Tinamou" "Crypturellus parvirostris" "LC" "Low" "not a migrant"
"STRUTHIONIFORMES" "Tinamidae" "Tinamous" "Tataupa Tinamou" "Crypturellus tataupa" "LC" "High" "not a migrant"
"PASSERIFORMES" "Corvidae" "Crows and Jays" "Plush-crested Jay" "Cyanocorax chrysops" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Corvidae" "Crows and Jays" "Azure Jay" "Cyanocorax coeruleus" "NT" "High" "not a migrant"
"PASSERIFORMES" "Cardinalidae" "Cardinals" "Ultramarine Grosbeak" "Cyanoloxia brissonii" "LC" "Does not normally occur in forest" "not a migrant"
"PASSERIFORMES" "Cardinalidae" "Cardinals" "Glaucous-blue Grosbeak" "Cyanoloxia glaucocaerulea" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Vireonidae" "Vireos" "Rufous-browed Peppershrike" "Cyclarhis gujanensis" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Plain-winged Woodcreeper" "Dendrocincla turdina" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Furnariidae" "Ovenbirds" "Planalto Woodcreeper" "Dendrocolaptes platyrostris" "LC" "Medium" "not a migrant"
"CUCULIFORMES" "Cuculidae" "Cuckoos" "Pheasant Cuckoo" "Dromococcyx phasianellus" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Thamnophilidae" "Typical Antbirds" "Dusky-tailed Antbird" "Drymophila malura" "LC" "High" "not a migrant"
"PASSERIFORMES" "Thamnophilidae" "Typical Antbirds" "Bertoni's Antbird" "Drymophila rubricollis" "LC" "High" "not a migrant"
"PASSERIFORMES" "Thamnophilidae" "Typical Antbirds" "Plain Antvireo" "Dysithamnus mentalis" "LC" "Medium" "not a migrant"
"PASSERIFORMES" "Thamnophilidae" "Typical Antbirds" "Spot-breasted Antvireo" "Dysithamnus stictothorax" "NT" "Medium" "not a migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "White-crested Elaenia" "Elaenia albiceps" "LC" "Medium" "full migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Olivaceous Elaenia" "Elaenia mesoleuca" "LC" "High" "full migrant"
"PASSERIFORMES" "Tyrannidae" "Tyrant-flycatchers" "Small-billed Elaenia" "Elaenia parvirostris" "LC" "Medium" "full migrant"
"ACCIPITRIFORMES" "Accipitridae" "Hawks, Eagles" "Swallow-tailed Kite" "Elanoides forficatus" "LC" "Low" "full migrant"
"PASSERIFORMES" "Rhinocryptidae" "Tapaculos" "White-breasted Tapaculo" "Eleoscytalopus indigoticus" "LC" "Medium" "not a migrant"
