Species	English name	Local survey F	Local survey A	Local survey P	Regional survey F	Regional survey regional A	Regional survey regional P
Myiarchus swasoni (FG)	Swainsons Flycatcher	-	-	-	X	-	-
Myiopagis viridicata (FG)	Greenish Elaenia	-	-	-	X	-	-
Phylloscartes sylviolus (FD)	Bay-ringed Tyrannulet	-	-	-	X	-	-
Phylloscartes eximius (FD)	Southern Bristle-Tyrant	X	-	-	-	-	-
Platyrhynchus mystaceus (FD)	White-throated Spadebill	X	-	-	-	-	-
Todirostrum plumbeiceps (FG)	Ochre-faced Tody-Flycatcher	-	-	-	X	X	-
Tyrannus melancholicus (ED)	Tropical Kingbird	X	-	-	-	-	-
Tityra inquisitor (FG)	Black-crowned Tityra	X	-	-	-	-	X
Tityra cayana (FD)	Black-tailed Tityra	-	-	-	X	-	-
Contopus cinereus (FG)	Tropical Pewee	X	-	-	-	-	-
Platysaris rufus (FD)	Crested Becard	-	-	X	-	-	-
Cyanocorax chrysops (FG)	Plush-crested Jay	X	X	X	X	X	X
Troglodytes aedon (ED)	House Wren	X	X	X	X	X	X
Turdus albicollis (FD)	White-neckaed Thrush	X	-	-	X	-	-
Turdus amaurochalinus (FG)	Creamy-bellied Thrush	X	X	-	-	X	X
Turdus leucomelas (FG)	Pale-breasted Thrush	X	X	X	X	X	X
Turdus rufiventris (ED)	Rufous-bellied Thrush	X	X	X	X	X	-
Cyclarhis gujanensis (FG)	Rufous-browned Pepershrike	-	-	-	X	X	X
Geothlypis aequinoctialis (ED)	Masked Yellowthroat	-	-	X	-	-	-
Basileuterus culicivorus (FG)	Golden-crowned Warbler	X	X	X	X	X	X
Basileuterus leucoblepharus (FG)	White-rimmed Warbler	X	X	X	X	X	X
Vireo olivaceus (FG)	Red-eyed Vireo	X	X	X	X	X	X
Hylophilus poicilotis (FD)	Rufous-crowned Greenlet	-	-	-	-	X	-
Cissopis leveriana (FG)	Magpie Tanager	-	X	X	X	X	-
Euphonia chlorotica (FG)	Purple-throated Euphonia	-	-	-	X	-	X
Euphonia violacea (FG)	Violaceous Euphonia	-	-	-	X	-	-
Parula pitiayumi (FG)	Tropical Parula	-	-	-	X	-	-
Habia rubica (FD)	Red-crowned Ant-Tanager	-	-	-	X	-	-
Tachyphonus coronatus (FG)	Ruby-crowned Tanager	X	X	X	X	-	X
Thraupis sayaca (FG)	Sayaca Tanager	-	X	-	-	X	X
Trichothraupis melanops (FD)	Black-goggled Tanager	-	-	-	X	-	-
Pyrrhocoma ruficeps (FD)	Chestnut-headed Tanager	-	-	-	X	-	-
Amaurospiza moesta (FD)	Blackish-Blue Seedeater	-	-	-	X	-	-
Carduelis magellanica (ED)	Hooded Siskin	-	X	-	-	-	X
Coryphospingus cucullatus (ED)	Red-crested Finch	-	-	X	X	-	X
Cyanoloxia glaucocaerulea (FG)	Indigo Grosbeak	-	-	-	X	-	-
Saltator coerulescens (ED)	Grayish Saltator	-	X	X	-	-	-
Saltator similis (FG)	Green-winged Saltator	X	-	-	X	X	X
Zonotrichia capensis (ED)	Rufous-collared Sparrow	-	X	X	-	X	X
Poospiza lateralis (FG)	Red-rumped Warbling	-	X	-	-	-	-
Cacicus haemorrous (FG)	Red-rumped Cacique	-	-	-	-	X	X
Scaphidura oryzivora (ED)	Giant Cowbird	-	-	-	-	-	X
